Topic,Question,Details
高校授業料の「実質無償化, 所得制限のない高校授業料の「実質無償化」を今後も継続すべきですか？, これまで都立高校は国の支援により無償化され、私立高校については国の支援に上乗せして都が助成してきましたが、年収910万円未満が目安となっていました。2024年度からは都が所得制限を撤廃し、所得要件により国の支援が得られない場合は都が支援することにより「実質無償化」となります。保護者が都内に住んでいれば、都外の私立高校に通っても対象となりますが、都外から都内へ通学するケースは対象外です
公立小中学校の給食費補助, 公立小中学校の給食費は東京都が全額負担すべきですか？, 都内の公立小中学校の給食費を区市町村が支援する場合に都が半額を補助することになったことを受け、23区は全ての自治体で、そのほかの地域は一部の自治体で無償化が実現しました。しかし、財政的な事情から無償化や補助に踏み切れない自治体もあり、半額の補助では足りないという意見もあります。なお、学校給食法には、給食費は保護者の負担と明記されています。
神宮外苑の再開発, 樹木の伐採を含めた神宮外苑の再開発は現行の計画通り進めるべきですか？, 明治神宮外苑の再開発では、老朽化が進む神宮球場と秩父宮ラグビー場の建て替えや芝生広場の整備、高層ビルの建設などが主に計画されています。再開発エリアでは樹木の伐採、移植、植樹が発生する一方、名所となっているイチョウ並木は保全するとしています。
都庁舎のプロジェクションマッピング, 都庁のプロジェクションマッピングを今後も続けることに賛成しますか？, プロジェクションマッピングは都庁第１本庁舎壁面の4～32階部分に投影。2月から始まり、建物に映す最大の常設展示としてギネス世界記録に認定されました。予算額は都によると、23年度は7億円、24年度は9億5000万円を計上しています。
選挙妨害対策, 選挙妨害を防ぐために、選挙における活動や表現に一定の規制をかけるべきですか？, 衆院東京15区補欠選挙を巡り公選法違反（自由妨害）の疑いで政治団体の代表ら3人が逮捕されました。選挙妨害を防ぐためには選挙における活動や表現に規制をかける必要があるという意見があります。
歌舞伎町や「トー横キッズ」問題, 歌舞伎町の悪質ホストクラブや「トー横キッズ」などの問題を解決するため、都がさらに介入を強めていくべきですか？, ホストクラブによる無許可営業などの法違反や悪質な高額請求、また深夜に「トー横キッズ」と呼ばれる若者が飲酒によるトラブルや暴力事件を起こすなど、歌舞伎町で発生している社会問題が深刻化しています。
太陽光パネルの設置義務化, 新築住宅などへの太陽光パネル設置義務化を予定通り開始すべきですか？, 2025年4月から都内に新築される住宅に太陽光パネルの設置が義務化されます。大手住宅メーカーが建設する延床面積2000平方メートル未満の新築住宅が対象です。
少子化対策と高齢者福祉, 少子化対策と高齢者福祉を比較した場合、少子化対策を優先して予算を使うべきですか？, 出生数の減少や出生率の低下を受け、少子化対策の重要性や緊急性が増しています。高齢者福祉を後回しにしてでも少子化対策を行うべきだという意見も多くあります。
税の偏在是正措置, 国による地方法人課税においての「偏在是正措置」は見直すべきですか？, 大都市に集中する地方税を地方に再配分する「偏在是正措置」により、税収の多い東京都は法人税などの一部を国に納め、それを国は全国に再配分しています。東京都は地方交付税を含めた一般財源は人口１人あたりにすると全国平均と同水準だとし、「不合理なもの」として措置に反対しています。
ふるさと納税制度の見直し, 都民税の減少に対応するため、ふるさと納税制度の見直しを求めていくべきですか？, 都によると、「ふるさと納税」による都民税（住民税）の減収額は年々増加し、昨年度の減収額は675億円にのぼります。受益と負担という地方税の原則に反するとして、競争が激しくなっている返礼品の段階的廃止、控除額への上限設定などを都は求めています。
