link,time,tweet,topic_idx,topic,similarity
https://x.com/toshio_tamogami/status/1895207917214933026,2025-02-27T20:22:33+00:00,高校の授業料の無償化は税ではなく国債発行で出来る。今なお税が財源だという頓珍漢がいる。自公と維新は高校授業料の無償化で国民民主党提案の減税案を潰した。高校の授業料無償化で恩恵を受ける人など限られている。全国民を対象とした減税を何故自公はやらないのか。それは国民生活など全く考慮の外だからだ。自公は腐っているが維新もこれに加担した。今、減税することなしに国民生活を豊かにすることは出来ない,0,高校授業料の「実質無償化,0.696998
https://x.com/toshio_tamogami/status/1867708493127725396,2024-12-13T23:09:39+00:00,自民党が国民民主党の減税提案を抑えようと懸命に努力している。178万円を呑むことで税収が減って地方自治体にも迷惑をかけるとか言っている。地方の減収分は国が補填すれば全く問題はない。税は国の財源ではないし赤字国債は借金というのも嘘だ。国民生活が苦しいときに自民党がなぜ減税を抑えようとするのか理解できない,9,ふるさと納税制度の見直し,0.649063
https://x.com/toshio_tamogami/status/1808140445681439178,2024-07-02T14:07:30+00:00,皆様本日も御支援、御協力大変ありがとうございました。来年4月から東京都で新築住宅にソーラーパネルの設置が義務付けられます。住宅の値段が上がります。ソーラーパネルは能登の地震でもかなり多く壊れ、壊れても太陽光が当たると発電を続けるので処置に困ります。逆に原発は壊れていません。ソーラーパネルの安全神話は崩れたのです。段階的に縮小し無くすべきです。再エネ賦課金もなくなります。引き続きよろしくお願い致します,6,太陽光パネルの設置義務化,0.6486949
https://x.com/toshio_tamogami/status/1810787054063866271,2024-07-09T21:24:11+00:00,東京都は来年4月から新築住宅にソーラーパネルの設置が義務付けられるという。当然住宅の価格は上がる。そしてソーラーパネルの90％以上は今でも中国で作られている。東日本大震災の後、原発は災害で壊れていないがソーラーパネルは地震や大水で沢山壊れている。そして壊れても太陽光が当たると発電を継続するので処置に困る。ソーラーパネルの安全神話は崩れたのになぜこんなことが決まるのか理解できない,6,太陽光パネルの設置義務化,0.6463051
https://x.com/toshio_tamogami/status/1909344240523788568,2025-04-07T20:35:15+00:00,日本政府はこれまで外国人労働者を使いやすくするための政策を進めてきた。働き方改革とか言って労働力不足状態を作り、外国人労働者を雇用する企業や外国人留学生を受け入れる大学等には補助金を出し、外国人にも生活保護手当を支給するなど、移民推進の基盤整備に努力してきたのではないか。国が安い労働力を求め続けては国民生活は豊かにならない。そして減税できないことがさらに国民を貧しくしている,17,外国人労働者の増加,0.63168645
https://x.com/toshio_tamogami/status/1898159575293186446,2025-03-07T23:51:23+00:00,高額療養費の8月値上げが見送りになったことが大的に報道されている。値上げは増税の一環であり見送りは喜ばしい事である。高校授業料の無償化も大きく報道されている。しかしその裏では所得税や住民税の扶養控除の縮小が行われ、社会保険料の増額なども計画されているという。マスコミが取り上げないステルス増税だ。政府は国民の手元にお金を残さないように一生懸命努力しているようだ。景気が良くなるはずがない,0,高校授業料の「実質無償化,0.6256386
https://x.com/toshio_tamogami/status/1853199855092740554,2024-11-03T22:17:30+00:00,国民民主党が年収の壁を178万円に引き上げることを提案したら自民党の林芳正官房長官が、78兆円の減収になるとの試算を示したそうだ。減収になってもいいじゃないか。どうせ税は国の事業の財源ではない。しかしこのような発言を見ていると我が国の政権中枢にある人たちが税が財源であると認識して政治を行っているのではないかとの疑念を持ってしまう。国の事業の財源は国債発行なのだという認識を政治家が持たないと増税が続き国は破綻、衰退に向かう。今必要なのは減税だ,9,ふるさと納税制度の見直し,0.6235972
https://x.com/toshio_tamogami/status/1719498923797250077,2023-10-31T23:37:44+00:00,30日衆院で防衛力強化の増税と経済対策の減税が矛盾するなどの議論があった。国会議員たちも税が国の事業の財源になっていると誤解している。国の事業は全て国債発行でできるのだ。税を徴収する必要はない。景気を回復させるには減税が基本だ。何時までこの国民的誤解が続くのか。景気が過熱しそうなときに税を徴収すればよいのだ,8,税の偏在是正措置,0.60978156
https://x.com/toshio_tamogami/status/1857521478293663940,2024-11-15T20:30:06+00:00,国民民主党の103万円の壁突破の話に自民党の有力議員から、それをやると兆円の減収になり地方が財源不足になるとか反対意見が出ている。地方が財源が不足したら国がそれを補填すればよい。国は通貨を発行できるので都道府県や企業、個人と違って財源は不要だ。減税で国民が助かるのに国が国民を守らないでどうする。消費税などもゼロにすればよい。税は国の事業の財源ではないことに国民が気付かないと、いつまでも政府に騙されて苦しめられる,9,ふるさと納税制度の見直し,0.6031889
https://x.com/toshio_tamogami/status/1859232340851216400,2024-11-20T13:48:27+00:00,自公と国民民主党の103万円の壁の修正などの合意がなされた。テレビでは全国市町村連合会会長や自民党税調が税収減で地方財政に悪影響が出ると言っているというニュースが流れた。これを言っている人たちは相変わらず税が国の事業の財源だという観念にとらわれている。マスコミもそれを分かっていないのか。国には通貨発行権がある。税を減らしても国の財政には全く影響を与えないし、地方に対しても国が予算を配分すればよいだけのことだ,8,税の偏在是正措置,0.59223366
