link,time,tweet
https://x.com/renho_sha/status/1929852293698261078,2025-06-03T10:46:56+00:00,#新しいプロフィール画像
https://x.com/yamanoikazunori/status/1928351664987328801,2025-05-30T07:23:58+00:00,年金制度改革法案立民・野田代表が底上げ原資への「厚生年金」流用批判に反論 - 産経ニュース 年金制度改革法案立民・野田代表が底上げ原資への「厚生年金」流用批判に反論
https://x.com/renho_sha/status/1928356076103290969,2025-05-30T07:41:30+00:00,58.7万人が選択的夫婦別姓の実現まで結婚待機しているとの調査が出ました。この人たちの声に応え、若い人たちが選択できる自由を実現したいと強く思います。 法案提出しなかった自民党、態度不明な公明党に憤りを覚えます。 「選択的夫婦別姓」28年ぶり国会審議入り立憲・国民・維新の法案乱立で今国会成立のめど立たず
https://x.com/renho_sha/status/1927106694598762748,2025-05-26T20:56:54+00:00,法案を束ね国会審議を軽視し、与党の数の力で強行採決を重ね、国会の反対が強い場合は閣議決定のみで押し通す自公の手法を終わらせる大きな第一歩です。 党首討論で野党第一党、立憲民主党の野田佳彦代表が強く迫った問題が解決へ。 自公が棚上げした年金拡充策を盛り込む修正へ。これで将来低年金になる見込みの世代への支援になります。 財源はと問う自民大臣経験者に言いたいのは、財源なきまま、かつ野党の理解なきまま強硬に進めた防衛増税をまず反省してほしいのです。国会の熟議を経て与党と野党第一党で真摯に議論をした上の与野党合意。成案を得た場合には与野党それぞれが国民にきちんと説明する年金底上げ策は、国会の役割を果たしているということ。 衆議院での与党過半数割れは、これまでの国会の在り方を変えました。 やまのい和則 26 年金法案、自公と立憲が修正に大筋合意消えた「底上げ案」が復活 毎日新聞
https://x.com/renho_sha/status/1926396962242183528,2025-05-24T21:56:41+00:00,おはようございます！ 紫陽花が楽しめる季節になりそうですね。良い日曜日を
https://x.com/renho_sha/status/1920955916838744504,2025-05-09T21:35:54+00:00,与党として法案は出さない。 立憲案への反対で党議拘束かける案。 「やらない」 自民党の明確な姿勢ですね。 昨年8月の党総裁立候補表明会見で「姓が選べずつらい思い不利益を受けることは解消しないといけない」と導入に前向きな姿勢を強調した石破総理の変節も明確です。 自民、夫婦別姓法案の提出見送りへ野党案に反対する党議拘束も検討
https://x.com/renho_sha/status/1920281298930971010,2025-05-08T00:55:13+00:00,政治分野における男女共同参画推進法案は自民党も含めた超党派で合意、法案が実現する直前に自民党内の異論で反故になりました。その時の西田昌司さんの発言は「女性の社会進出で、社会全体が豊かになっているとは思えない」です。 私と安倍総理の党首討論でこの法案を実現させる道筋を作りましたが、男女共同参画社会への反発や歴史修正主義のこの方の思考は私には理解できません。 今夏、京都府民の皆さんの良識を。 辻野晃一郎 7 腹が立つので繰り返すが、この西田昌司という裏金議員は、ロクなのがいない自民党議員の中でも特にロクでもない。ひめゆりの塔に行ったのは何十年も前で国会議員になる前にただ1度切りの様子。それでいて歴史の捏造を推奨するような発言。沖縄の人たちを前によくこんなことが言えたもんだ
https://x.com/renho_sha/status/1919948031245320623,2025-05-07T02:50:56+00:00,和田さん、ありがとうございます。 一人で生きるという選択。 大好きなパートナーと暮らす選択。 夫婦別姓が認められるまで籍を分ける選択。 幸せな人を増やすために。 多様な生き方を全て尊重できる社会を、国を創りたいとの想いはむしろ強まっています。 和田靜香#遅フェミな石ころ 7 蓮舫さんが一人で生きる私たちの存在を都知事選のときに認め、生きるための政策を言ってくれたことは忘れません。戻ってきてくださいね
https://x.com/renho_sha/status/1919193276974043213,2025-05-05T00:51:48+00:00,全てのお子さんが健やかに育って幸せになりますように。 双子が小さい時、私にくれたクローバー、シェア。 素敵なこどもの日を
https://x.com/renho_sha/status/1912613908558553358,2025-04-16T21:07:45+00:00,おはよ
