link,time,tweet
https://x.com/toshio_tamogami/status/1933468001560637685,2025-06-13T10:14:28+00:00,"田母神俊雄 @toshio_tamogami Follow 明日6月13日、東京都議会選挙 池田としえさん　16時30分　日野駅バスロータリー 與倉さゆりさん　18時30分　南大沢駅 の応援演説に伺います。ご近所の方はぜひお越しください。お会いできる事を楽しみにしております。 Translate post 7:14 PM · Jun 13, 2025 · 14.4K  Views 3 67 466 8"
https://x.com/toshio_tamogami/status/1933448535607030226,2025-06-13T08:57:07+00:00,"田母神俊雄 @toshio_tamogami Follow 田母神俊雄　×　関暁夫『2025年　国防を語る』  国内外、様々な観点から 政治・経済について関暁夫さんと徹底討論していきます。 ・日本を取り巻く環境・世界との関わり方・個人はどう生きるか・お金（投資）について  スペシャルイベントとなっておりますので、この機会にぜひお申込ください。 https://sunward-t.co.jp/seminar/2025/07/05_2/index_t.html… Translate post 5:57 PM · Jun 13, 2025 · 12.3K  Views 5 145 564 16"
https://x.com/toshio_tamogami/status/1933271656497360987,2025-06-12T21:14:16+00:00,"田母神俊雄 @toshio_tamogami Follow 大阪の人が教えてくれた。大阪のモスク周辺でイスラムが拡大しており、先日道の駅の路上で祈っており子供が怖がっていた。そして土葬場を作れと各自治体に迫り、日本の伝統文化は一切無視される。日本もヨーロッパになる。我が国は既に移民縮小に動いている欧米諸国とは反対に移民拡大に向かっている。自公政府は移民拡大を抑えよ。https://x.com/parsonalsecret/status/1932644959779459298?s=53&t=AUCYHJ6ODloKCYFYvQb6iA… Translate post 6:14 AM · Jun 13, 2025 · 738K  Views 265 6.3K 23K 454"
https://x.com/toshio_tamogami/status/1932912846008123870,2025-06-11T21:28:28+00:00,"田母神俊雄 @toshio_tamogami Follow 小泉純一郎首相の時に「民でできるものは民で」で声高に叫ばれ、民の方がサービスが良く安い経費でできるというような風潮が作られた。しかしこれは大間違いだった。郵便局や農協など協同組合制であったものを民間に晒しグローバル企業にくれてやろうとする口実であったのだ。郵便局は日本国民のものからグローバル企業に奪われてしまった。370兆円の郵便貯金も日本国民のために使われていたがそれが出来なくなった。今また農協を悪者だと言い農協をグローバル企業にくれてやろうとする輩がいる。小泉親子の罪は重い。 Translate post 6:28 AM · Jun 12, 2025 · 732.5K  Views 192 5.7K 21K 559"
https://x.com/toshio_tamogami/status/1932581539357040966,2025-06-10T23:31:59+00:00,"田母神俊雄 @toshio_tamogami Follow 欧米主要国では農家は準公務員だ。農家の収入の6割から8割は政府の補助金だ。我が国は農家をほとんど守ってこなかった。だから農家は後継ぎがいなくなってあと10年もすれば我が国では国産米が食べられなくなる恐れが大だ。いま米騒動が起きているが、主食である米はいつでも政府が農家から高く買い上げて消費者には安く供給すればよい。余った米は輸出に回しておいて米不足になりそうだったら輸出を削減すればよい。政府は農家の後継ぎが生まれるように農家の収入を保証すればよい。政治家に後継ぎが多いのは政治家の収入が保証されているからなのだ。 Translate post 8:31 AM · Jun 11, 2025 · 134.6K  Views 141 2.5K 8.4K 211"
https://x.com/toshio_tamogami/status/1929298715774513250,2025-06-01T22:07:13+00:00,"田母神俊雄 @toshio_tamogami Follow 昨日、東京江東区の有明アリーナで全世界フルコンタクト空手道選手権大会が開催され、世界中から多くの人たちが集まりました。私は幸運にも招待されたので見学して来ました。男女別の競技があり、その迫力は空手家の闘争心を十分に感じさせるものでした。また競技の合間に幼稚園児を含む子供たちの演武もあり、そのきびきびした行動に感動しました。日本古来の侍精神、そして礼儀正しさを体得させるために武道は素晴らしいと改めて感じました。学校教育で武道を奨励することがいいのではないかと思った次第です。 Translate post 7:07 AM · Jun 2, 2025 · 48.2K  Views 33 248 1.7K 22"
https://x.com/toshio_tamogami/status/1928922606130049304,2025-05-31T21:12:41+00:00,"田母神俊雄 @toshio_tamogami Follow トランプ大統領はハーバード大学留学中の反米大学生を追放すると言う。アメリカとしては当然だ。しかし我が国の東大がそれら留学生を受け入れると表明した。反日中国人留学生がまた増える。既に東大の学生の12.5％は中国人だ。留学生を受け入れれば東大に一人当たり年間最大42万円の補助金が交付される。留学生の思想信条を調査せよ。学問の自由の名のもとに日本が乗っ取られるのはまっぴらごめんだ。 Translate post 6:12 AM · Jun 1, 2025 · 700.1K  Views 265 6.4K 25K 593"
https://x.com/toshio_tamogami/status/1928579926795432339,2025-05-30T22:31:00+00:00,"田母神俊雄 @toshio_tamogami Follow さくら子3.0さんありがとうございます。歴史を捏造して日本や日本軍を悪者にしたい人たちがいます。戦後教育のせいです。GHQによって造られた日教組など先生の組合は解散すべきだと思います。反日サヨクに利用されて日本が貶められるだけです。 Translate post さくら子3.0 @tasukeaiseisin · May 30 Replying to @toshio_tamogami ↓この『嘘』が今現在も、展示されています。 逆に、沖縄県平和祈念資料館を訴えるべきです。 7:31 AM · May 31, 2025 · 40.5K  Views 30 295 1.2K 23"
https://x.com/toshio_tamogami/status/1928216594347422070,2025-05-29T22:27:15+00:00,"田母神俊雄 @toshio_tamogami Follow 日本を取り戻す第1歩は総理の靖国参拝だ。理不尽なことに対しては戦わなければならない。自民党ではそれは無理だ。自民党に任せては日本の再興は不可能だ。私は参政党を中核とした保守の政権が出来ることを期待している。 Translate post 松下ゆうき、参政党静岡県国政改革委員 @ukeymatsushita · May 29 さ、さ、参政党の議員が、、、  集団で、、靖国の参拝してるぞ！！  ぎゃあぁぁーーーーっっ！！！！  ってそろそろ騒いでもいいですよ？  マスコミの皆様お願いします！！  選挙も近いですし！！ 7:27 AM · May 30, 2025 · 174K  Views 108 2K 8K 123"
https://x.com/toshio_tamogami/status/1928205322805543053,2025-05-29T21:42:27+00:00,"田母神俊雄 @toshio_tamogami Follow 自民党の日本売国は今世紀に入ってずっと続いている。歴史認識の誤りがグローバリズムに屈するのだ。「民で出来るものは民で」は大間違いだ。それは日本の資産をを奪うための口実なのだ。国民生活のインフラは国が維持すべきなのだ。 Translate post K.Tana @KTana05590427 · May 27 Replying to @toshio_tamogami and @MQS44tMD5OBhoWJ 農業共同組合は、農家さんを守っています。(改革するべき点は、あるかと思いますが‥？) 農協解体、株式化のストーリーです。 6:42 AM · May 30, 2025 · 153.6K  Views 44 1.1K 3.4K 85"
