link,time,tweet,topic_idx,topic,similarity,writer,reader1,reader2,reader3,avg_readers,averages,russell
https://x.com/renho_sha/status/1851796994412679609,2024-10-31T01:23:02+00:00,同性婚 選択できる夫婦別姓制度 今こそ、立法府が本気で動く時だと心から願います。 同性どうしの結婚を認めない法律規定は憲法違反 東京高裁 東京都 同性どうしの結婚を認めない法律規定は憲法違反 東京高裁,15,パートナーシップ制度,0.5831969,"{'joy': '0.27', 'sadness': '0.53', 'anticipation': '1.36', 'surprise': '0.58', 'anger': '0.52', 'fear': '0.36', 'disgust': '0.48', 'trust': '0.55'}","{'joy': '0.39', 'sadness': '0.47', 'anticipation': '1.17', 'surprise': '0.65', 'anger': '0.75', 'fear': '0.26', 'disgust': '0.48', 'trust': '0.65'}","{'joy': '0.39', 'sadness': '0.47', 'anticipation': '1.17', 'surprise': '0.65', 'anger': '0.75', 'fear': '0.26', 'disgust': '0.48', 'trust': '0.65'}","{'joy': '0.39', 'sadness': '0.47', 'anticipation': '1.17', 'surprise': '0.65', 'anger': '0.75', 'fear': '0.26', 'disgust': '0.48', 'trust': '0.65'}","{'joy': '0.39', 'sadness': '0.47', 'anticipation': '1.17', 'surprise': '0.65', 'anger': '0.75', 'fear': '0.26', 'disgust': '0.48', 'trust': '0.65'}","{'joy': 0.37, 'sadness': 0.48, 'anticipation': 1.21, 'surprise': 0.64, 'anger': 0.7, 'fear': 0.28, 'disgust': 0.48, 'trust': 0.63}","{'arousal': 0.518580375782881, 'valance': -0.09707724425887264}"
https://x.com/renho_sha/status/1809231031117250704,2024-07-05T14:21:06+00:00,子育てに寄り添う。 その不安を取り除く子育て支援を。 経済的理由で若者が結婚や子どもを諦めなくて良い東京。雇用の不安を取り除く、奨学金返済を支援する東京。 若者の収入が増えれば税収増となり社会保険料の担い手が増え、それはシニアの安心に繋がります。 世代を超え循環する東京へ,7,少子化対策と高齢者福祉,0.5290161,"{'joy': '1.03', 'sadness': '0.31', 'anticipation': '2.08', 'surprise': '0.76', 'anger': '0.27', 'fear': '0.15', 'disgust': '0.20', 'trust': '1.46'}","{'joy': '0.86', 'sadness': '0.31', 'anticipation': '2.09', 'surprise': '0.71', 'anger': '0.27', 'fear': '0.29', 'disgust': '0.12', 'trust': '1.61'}","{'joy': '0.86', 'sadness': '0.31', 'anticipation': '2.09', 'surprise': '0.71', 'anger': '0.27', 'fear': '0.29', 'disgust': '0.12', 'trust': '1.61'}","{'joy': '0.86', 'sadness': '0.31', 'anticipation': '2.09', 'surprise': '0.71', 'anger': '0.27', 'fear': '0.29', 'disgust': '0.12', 'trust': '1.61'}","{'joy': '0.86', 'sadness': '0.31', 'anticipation': '2.09', 'surprise': '0.71', 'anger': '0.27', 'fear': '0.29', 'disgust': '0.12', 'trust': '1.61'}","{'joy': 0.89, 'sadness': 0.31, 'anticipation': 2.09, 'surprise': 0.72, 'anger': 0.27, 'fear': 0.26, 'disgust': 0.14, 'trust': 1.58}","{'arousal': 0.49712460063897773, 'valance': 0.22028753993610223}"
https://x.com/renho_office/status/1807729988420182080,2024-07-01T10:56:29+00:00,徹底した若者支援が、シニアの安心にもつながります。 介護業界の去年の倒産件数は過去最多にもかかわらず、国は介護報酬を引き下げました。介護報酬引き下げにより、中小零細の事業者が立ち行かなくなるのではないか。そうなれば、介護サービスを必要とする高齢者はどうなるのか。#蓮舫と次の東京へ,7,少子化対策と高齢者福祉,0.5043412,"{'joy': '0.94', 'sadness': '0.52', 'anticipation': '1.50', 'surprise': '1.18', 'anger': '0.32', 'fear': '0.31', 'disgust': '0.23', 'trust': '1.07'}","{'joy': '0.65', 'sadness': '0.46', 'anticipation': '1.74', 'surprise': '0.84', 'anger': '0.40', 'fear': '0.30', 'disgust': '0.26', 'trust': '1.38'}","{'joy': '0.65', 'sadness': '0.46', 'anticipation': '1.74', 'surprise': '0.84', 'anger': '0.40', 'fear': '0.30', 'disgust': '0.26', 'trust': '1.38'}","{'joy': '0.65', 'sadness': '0.46', 'anticipation': '1.74', 'surprise': '0.84', 'anger': '0.40', 'fear': '0.30', 'disgust': '0.26', 'trust': '1.38'}","{'joy': '0.65', 'sadness': '0.46', 'anticipation': '1.74', 'surprise': '0.84', 'anger': '0.40', 'fear': '0.30', 'disgust': '0.26', 'trust': '1.38'}","{'joy': 0.71, 'sadness': 0.47, 'anticipation': 1.69, 'surprise': 0.91, 'anger': 0.38, 'fear': 0.3, 'disgust': 0.25, 'trust': 1.32}","{'arousal': 0.5016583747927031, 'valance': 0.11359867330016582}"
https://x.com/renho_sha/status/1907998049223532760,2025-04-04T03:25:58+00:00,大富豪の大統領、財務長官、商務長官らが19世紀後半のように米国税収の半分を関税で賄い所得税率を下げるインセンティブが働くとすれば国内格差はさらに拡大します。インフレが進み株価急落、景気失速リスクは高まるうえ、輸出先の対抗措置で打撃を受ける産業も出るでしょう。かつ、大統領の不法入国者への厳しい措置は労働市場を逼迫しています。工場建設コストの暴騰もあり米国への生産シフトも簡単ではないでしょう。結果、トランプ大統領を支持した国民への負担が増えるのではないでしょうか。その時、大統領が次と強行する関税措置へのアメリカ国民の不満は高まることになるでしょう。中間選挙に向けて大統領が政策変更を迫られるかもしれません。 外交交渉は否定しませんが、時間をかけた結果に妥協と譲歩を繰り返すのではなく、の拡大を目指すなど自由貿易の旗を大きく掲げる時だと思います。あわせて、成立した予算編成時とは大きく変わった世界環境だからこそ日本国内の経済対策を迅速に進めるべきだと思います,8,税の偏在是正措置,0.4843909,"{'joy': '0.35', 'sadness': '0.58', 'anticipation': '1.00', 'surprise': '0.61', 'anger': '0.26', 'fear': '0.90', 'disgust': '0.27', 'trust': '0.46'}","{'joy': '0.58', 'sadness': '0.73', 'anticipation': '0.94', 'surprise': '0.65', 'anger': '0.60', 'fear': '0.67', 'disgust': '0.52', 'trust': '0.79'}","{'joy': '0.58', 'sadness': '0.73', 'anticipation': '0.94', 'surprise': '0.65', 'anger': '0.60', 'fear': '0.67', 'disgust': '0.52', 'trust': '0.79'}","{'joy': '0.58', 'sadness': '0.73', 'anticipation': '0.94', 'surprise': '0.65', 'anger': '0.60', 'fear': '0.67', 'disgust': '0.52', 'trust': '0.79'}","{'joy': '0.58', 'sadness': '0.73', 'anticipation': '0.94', 'surprise': '0.65', 'anger': '0.60', 'fear': '0.67', 'disgust': '0.52', 'trust': '0.79'}","{'joy': 0.53, 'sadness': 0.7, 'anticipation': 0.95, 'surprise': 0.64, 'anger': 0.53, 'fear': 0.72, 'disgust': 0.47, 'trust': 0.72}","{'arousal': 0.4952471482889736, 'valance': -0.13973384030418257}"
https://x.com/momotro018/status/1808638732373012861,2024-07-03T23:07:31+00:00,蓮舫中田敦彦都知事選対談政治にまったく興味なかった層に向けて、こういう初歩的な質問で掘り下げられて、しっとりと答えられる場が持ててるのは良き。 本来はテレビの仕事だったのに、今や地上波はただの政府広報だからな。の重要性を実感する。 元動画,18,都職員のチャットGPT使用,0.47345275,"{'joy': '1.55', 'sadness': '0.01', 'anticipation': '1.30', 'surprise': '1.35', 'anger': '0.16', 'fear': '0.00', 'disgust': '0.14', 'trust': '1.44'}","{'joy': '1.45', 'sadness': '0.08', 'anticipation': '1.48', 'surprise': '1.29', 'anger': '0.08', 'fear': '0.06', 'disgust': '0.24', 'trust': '1.86'}","{'joy': '1.45', 'sadness': '0.08', 'anticipation': '1.48', 'surprise': '1.29', 'anger': '0.08', 'fear': '0.06', 'disgust': '0.24', 'trust': '1.86'}","{'joy': '1.45', 'sadness': '0.08', 'anticipation': '1.48', 'surprise': '1.29', 'anger': '0.08', 'fear': '0.06', 'disgust': '0.24', 'trust': '1.86'}","{'joy': '1.45', 'sadness': '0.08', 'anticipation': '1.48', 'surprise': '1.29', 'anger': '0.08', 'fear': '0.06', 'disgust': '0.24', 'trust': '1.86'}","{'joy': 1.47, 'sadness': 0.07, 'anticipation': 1.44, 'surprise': 1.3, 'anger': 0.1, 'fear': 0.05, 'disgust': 0.22, 'trust': 1.78}","{'arousal': 0.5189735614307931, 'valance': 0.3233281493001556}"
https://x.com/renho_sha/status/1848891925908386239,2024-10-23T00:59:20+00:00,エイトさんの取材。 ルールを守らない選挙活動です。 山岸一生候補が闘っている自民党が推薦する相手です,4,選挙妨害対策,0.4667703,"{'joy': '1.02', 'sadness': '0.08', 'anticipation': '1.11', 'surprise': '1.40', 'anger': '0.07', 'fear': '0.01', 'disgust': '0.09', 'trust': '1.21'}","{'joy': '0.89', 'sadness': '0.23', 'anticipation': '1.00', 'surprise': '1.63', 'anger': '0.19', 'fear': '0.14', 'disgust': '0.40', 'trust': '1.23'}","{'joy': '0.89', 'sadness': '0.23', 'anticipation': '1.00', 'surprise': '1.63', 'anger': '0.19', 'fear': '0.14', 'disgust': '0.40', 'trust': '1.23'}","{'joy': '0.89', 'sadness': '0.23', 'anticipation': '1.00', 'surprise': '1.63', 'anger': '0.19', 'fear': '0.14', 'disgust': '0.40', 'trust': '1.23'}","{'joy': '0.89', 'sadness': '0.23', 'anticipation': '1.00', 'surprise': '1.63', 'anger': '0.19', 'fear': '0.14', 'disgust': '0.40', 'trust': '1.23'}","{'joy': 0.92, 'sadness': 0.2, 'anticipation': 1.02, 'surprise': 1.58, 'anger': 0.17, 'fear': 0.11, 'disgust': 0.34, 'trust': 1.23}","{'arousal': 0.5412926391382405, 'valance': 0.18294434470377016}"
https://x.com/renho_sha/status/1919948031245320623,2025-05-07T02:50:56+00:00,和田さん、ありがとうございます。 一人で生きるという選択。 大好きなパートナーと暮らす選択。 夫婦別姓が認められるまで籍を分ける選択。 幸せな人を増やすために。 多様な生き方を全て尊重できる社会を、国を創りたいとの想いはむしろ強まっています。 和田靜香#遅フェミな石ころ 7 蓮舫さんが一人で生きる私たちの存在を都知事選のときに認め、生きるための政策を言ってくれたことは忘れません。戻ってきてくださいね,15,パートナーシップ制度,0.4456293,"{'joy': '1.39', 'sadness': '0.31', 'anticipation': '1.81', 'surprise': '1.16', 'anger': '0.26', 'fear': '0.03', 'disgust': '0.10', 'trust': '2.14'}","{'joy': '1.34', 'sadness': '0.35', 'anticipation': '1.84', 'surprise': '1.01', 'anger': '0.29', 'fear': '0.20', 'disgust': '0.26', 'trust': '2.44'}","{'joy': '1.34', 'sadness': '0.35', 'anticipation': '1.84', 'surprise': '1.01', 'anger': '0.29', 'fear': '0.20', 'disgust': '0.26', 'trust': '2.44'}","{'joy': '1.34', 'sadness': '0.35', 'anticipation': '1.84', 'surprise': '1.01', 'anger': '0.29', 'fear': '0.20', 'disgust': '0.26', 'trust': '2.44'}","{'joy': '1.34', 'sadness': '0.35', 'anticipation': '1.84', 'surprise': '1.01', 'anger': '0.29', 'fear': '0.20', 'disgust': '0.26', 'trust': '2.44'}","{'joy': 1.35, 'sadness': 0.34, 'anticipation': 1.83, 'surprise': 1.04, 'anger': 0.28, 'fear': 0.17, 'disgust': 0.23, 'trust': 2.38}","{'arousal': 0.4776902887139107, 'valance': 0.2669291338582677}"
https://x.com/ykym_s_june/status/1808532994300469588,2024-07-03T16:07:21+00:00,切り抜き配信中 コムアイ「今の都政に求めてることって、めちゃくちゃハードル低くなっちゃってて。まともに質疑応答ができる人とか、人権守る思想があるとか。もう本当にお願いだからまともな人って。蓮舫さん出てる！ありがとう！みたいな気持ちですね」 #蓮舫と次の東京へ,18,都職員のチャットGPT使用,0.44149768,"{'joy': '1.57', 'sadness': '0.11', 'anticipation': '1.51', 'surprise': '1.46', 'anger': '0.19', 'fear': '0.04', 'disgust': '0.16', 'trust': '1.63'}","{'joy': '1.59', 'sadness': '0.10', 'anticipation': '1.48', 'surprise': '1.29', 'anger': '0.12', 'fear': '0.13', 'disgust': '0.26', 'trust': '1.97'}","{'joy': '1.59', 'sadness': '0.10', 'anticipation': '1.48', 'surprise': '1.29', 'anger': '0.12', 'fear': '0.13', 'disgust': '0.26', 'trust': '1.97'}","{'joy': '1.59', 'sadness': '0.10', 'anticipation': '1.48', 'surprise': '1.29', 'anger': '0.12', 'fear': '0.13', 'disgust': '0.26', 'trust': '1.97'}","{'joy': '1.59', 'sadness': '0.10', 'anticipation': '1.48', 'surprise': '1.29', 'anger': '0.12', 'fear': '0.13', 'disgust': '0.26', 'trust': '1.97'}","{'joy': 1.59, 'sadness': 0.1, 'anticipation': 1.49, 'surprise': 1.32, 'anger': 0.13, 'fear': 0.11, 'disgust': 0.24, 'trust': 1.9}","{'arousal': 0.5155523255813953, 'valance': 0.3104651162790697}"
https://x.com/renho_sha/status/1856183456289767917,2024-11-12T03:53:16+00:00,税金の在り方を自民党と協議するのは否定しませんが、まずは、政府に対して現実的な対応を求める法案を提出していくことは大切。 立憲紙の保険証廃止延期法案を提出政府は来月廃止の方針 - 日テレ,8,税の偏在是正措置,0.4403872,"{'joy': '0.33', 'sadness': '0.29', 'anticipation': '1.14', 'surprise': '0.59', 'anger': '0.31', 'fear': '0.38', 'disgust': '0.24', 'trust': '0.52'}","{'joy': '0.28', 'sadness': '0.38', 'anticipation': '1.33', 'surprise': '0.68', 'anger': '0.48', 'fear': '0.36', 'disgust': '0.39', 'trust': '0.74'}","{'joy': '0.28', 'sadness': '0.38', 'anticipation': '1.33', 'surprise': '0.68', 'anger': '0.48', 'fear': '0.36', 'disgust': '0.39', 'trust': '0.74'}","{'joy': '0.28', 'sadness': '0.38', 'anticipation': '1.33', 'surprise': '0.68', 'anger': '0.48', 'fear': '0.36', 'disgust': '0.39', 'trust': '0.74'}","{'joy': '0.28', 'sadness': '0.38', 'anticipation': '1.33', 'surprise': '0.68', 'anger': '0.48', 'fear': '0.36', 'disgust': '0.39', 'trust': '0.74'}","{'joy': 0.29, 'sadness': 0.36, 'anticipation': 1.29, 'surprise': 0.66, 'anger': 0.45, 'fear': 0.36, 'disgust': 0.36, 'trust': 0.7}","{'arousal': 0.5205816554809845, 'valance': -0.03020134228187921}"
https://x.com/renho_office/status/1811278744260411776,2024-07-11T05:57:59+00:00,都内の繁華街に貼られていると書かれたシールについてご指摘をいただいております。蓮舫陣営として、このシールの企画・作成・配布・貼付のいずれにもまったく関わっておらず、本件についてはなどで知ったところです。貼りつけをおこなった方は、候補者への支援の思いからだったとしても、すぐに原状回復をされるようにお願い申し上げます,18,都職員のチャットGPT使用,0.43613344,"{'joy': '0.30', 'sadness': '0.68', 'anticipation': '0.72', 'surprise': '1.07', 'anger': '0.37', 'fear': '0.44', 'disgust': '0.43', 'trust': '0.63'}","{'joy': '0.37', 'sadness': '0.66', 'anticipation': '0.79', 'surprise': '1.09', 'anger': '0.81', 'fear': '0.75', 'disgust': '0.82', 'trust': '0.86'}","{'joy': '0.37', 'sadness': '0.66', 'anticipation': '0.79', 'surprise': '1.09', 'anger': '0.81', 'fear': '0.75', 'disgust': '0.82', 'trust': '0.86'}","{'joy': '0.37', 'sadness': '0.66', 'anticipation': '0.79', 'surprise': '1.09', 'anger': '0.81', 'fear': '0.75', 'disgust': '0.82', 'trust': '0.86'}","{'joy': '0.37', 'sadness': '0.66', 'anticipation': '0.79', 'surprise': '1.09', 'anger': '0.81', 'fear': '0.75', 'disgust': '0.82', 'trust': '0.86'}","{'joy': 0.36, 'sadness': 0.66, 'anticipation': 0.78, 'surprise': 1.09, 'anger': 0.72, 'fear': 0.69, 'disgust': 0.74, 'trust': 0.81}","{'arousal': 0.5124786324786323, 'valance': -0.18717948717948713}"
